Date,Type,Rate,open,low,high,close,volume,Target Rate From (%),Target Rate To (%),,,,,,,,,
03/09/2023,EFFR,4.57,4.55,4.56,4.59,4.9,115,4.5,4.75,,,,,,,,,
03/09/2023,OBFR,4.57,4.5,4.55,4.57,4.82,,,,,,,,,,,,
03/09/2023,TGCR,4.51,4.45,4.5,4.55,4.56,461,,,,,,,,,,,
03/09/2023,BGCR,4.51,4.45,4.5,4.55,4.57,469,,,,,,,,,,,
03/09/2023,SOFR,4.55,4.48,4.52,4.56,4.62,1120,,,,,,,,,,,
03/08/2023,EFFR,4.57,4.55,4.56,4.58,4.9,107,4.5,4.75,,,,,,,,,
03/08/2023,OBFR,4.56,4.5,4.55,4.57,4.85,290,,,,,,,,,,,
03/08/2023,TGCR,4.51,4.45,4.5,4.55,4.56,453,,,,,,,,,,,
03/08/2023,BGCR,4.51,4.45,4.5,4.55,4.57,466,,,,,,,,,,,
03/08/2023,SOFR,4.55,4.48,4.52,4.57,4.62,1096,,,,,,,,,,,
03/07/2023,EFFR,4.57,4.55,4.56,4.58,4.9,118,4.5,4.75,,,,,,,,,
03/07/2023,OBFR,4.57,4.5,4.55,4.57,4.84,308,,,,,,,,,,,
03/07/2023,TGCR,4.51,4.45,4.5,4.55,4.56,463,,,,,,,,,,,
03/07/2023,BGCR,4.51,4.45,4.5,4.55,4.57,474,,,,,,,,,,,
03/07/2023,SOFR,4.55,4.48,4.52,4.56,4.61,1151,,,,,,,,,,,
03/06/2023,EFFR,4.57,4.55,4.56,4.59,4.9,114,4.5,4.75,,,,,,,,,
03/06/2023,OBFR,4.57,4.5,4.55,4.57,4.85,310,,,,,,,,,,,
03/06/2023,TGCR,4.51,4.45,4.5,4.55,4.56,449,,,,,,,,,,,
03/06/2023,BGCR,4.51,4.45,4.5,4.55,4.56,460,,,,,,,,,,,
03/06/2023,SOFR,4.55,4.47,4.52,4.56,4.62,1129,,,,,,,,,,,
03/03/2023,EFFR,4.57,4.55,4.57,4.59,4.9,114,4.5,4.75,,,,,,,,,
03/03/2023,OBFR,4.57,4.5,4.55,4.58,4.65,304,,,,,,,,,,,
03/03/2023,TGCR,4.51,4.45,4.51,4.55,4.56,444,,,,,,,,,,,
03/03/2023,BGCR,4.51,4.45,4.51,4.55,4.57,458,,,,,,,,,,,
03/03/2023,SOFR,4.55,4.47,4.52,4.57,4.62,1120,,,,,,,,,,,
03/02/2023,EFFR,4.57,4.55,4.57,4.59,4.9,108,4.5,4.75,,,,,,,,,
03/02/2023,OBFR,4.57,4.5,4.55,4.58,4.85,295,,,,,,,,,,,
03/02/2023,TGCR,4.52,4.46,4.51,4.55,4.56,446,,,,,,,,,,,
03/02/2023,BGCR,4.52,4.46,4.51,4.55,4.58,463,,,,,,,,,,,
